,importance
ESC_Standard,0.26419953
RearVisibilitySystem_Standard,0.054538097
BodyClass_Pickup,0.02872578
DynamicBrakeSupport_Standard,0.025692267
BodyCabType_Crew/Super Crew/Crew Max,0.022464091
EngineCylinders,0.0146337245
FuelTypePrimary_Diesel,0.012091567
SemiautomaticHeadlampBeamSwitching_Standard,0.012023538
"GVWR_Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)",0.011763322
VehicleType_TRUCK,0.011068948
CIB_Not Available,0.008538622
ModelYear,0.008132799
displ,0.008122992
TractionControl_Standard,0.0070290826
DriveType_4WD,0.006686224
Model_911,0.0059874863
CAN_AACN_Standard,0.005617806
Trim_DJ (Single Rear Wheels),0.005562016
DriveType_FWD,0.0053448826
odometer,0.0045101536
AutoReverseSystem_Standard,0.004394788
Model_Wrangler,0.0037715374
Trim_xDrive28i,0.0037566982
BodyCabType_Mega,0.003703599
SeatBeltsAll_Manual,0.0035759371
EngineHP,0.0034681114
Trim_Super Crew - Raptor,0.003421423
ABS_Standard,0.0033854628
VehicleType_PASSENGER CAR,0.0033229066
DynamicBrakeSupport_Not Available,0.0031302043
BasePrice,0.0031277195
Trim2_G grade,0.003058598
Trim_JL,0.0030406187
Trim_SR5/SR5 Premium/TRD Off Road/TRD Off Road Premium/Ltd/TRD Pro,0.002788713
Trim_GSJ15L/GSJ10L,0.0027457802
LowerBeamHeadlampLightSource_LED,0.0026532586
Model_Corvette,0.0025857175
Trim_KL,0.0024705061
Make_PORSCHE,0.0023054231
Model_Liberty,0.0022662354
Make_LAND ROVER,0.002202443
Trim_Unlimited Rubicon,0.0021709886
Model_H2,0.0021237512
Model_Panamera,0.0020614555
Trim_SR5 Grade,0.0020425627
Series_JK,0.0020105615
Model_WRX,0.0020040711
Turbo,0.001983393
Model_FJ Cruiser,0.0019293033
"Trim_GT (US), GT FWD (Can)",0.0019007067
Model_Macan,0.0018881162
WheelSizeFront,0.0018876666
Trim_WD,0.0018853112
Series_F-Series,0.0018737314
BedType_Not Applicable,0.0018732612
Model_S-Class,0.0018583932
DaytimeRunningLight_Optional,0.001854743
WheelSizeRear,0.0018218943
Series_Super Duty - Single Rear Wheel,0.0018138381
Model_2500,0.0017904149
Pretensioner_Yes,0.0017815147
Model_Rogue,0.0016423352
"GVWR_Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",0.0016374848
Model_EuroVan,0.001618803
Series_GSJ10L/GSJ15L,0.0016149417
Model_Range Rover,0.0016100624
Series_Unlimited Rubicon,0.0016059561
Model_300C,0.0015581129
FuelTypeSecondary_Ethanol (E85),0.0015360868
FuelTypePrimary_Gasoline,0.0014919933
LaneDepartureWarning_Standard,0.0014750591
Series_UPK51L/UPK56L/USK51L/USK52L/USK56L/USK57L,0.0014661453
Model_XT6,0.0014175954
Make_MERCEDES-BENZ,0.0014160781
AirBagLocSeatCushion_Passenger Seat Only,0.0013753364
"GVWR_Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",0.0013705926
Series_MK74,0.0013348743
Trim_HSE,0.0013288993
Model_Frontier,0.0013285112
Series2_X (Special),0.0013136233
Make_HUMMER,0.001303036
FuelTypeSecondary_Flexible Fuel Vehicle (FFV),0.0012789804
AirBagLocCurtain_All Rows,0.0012786527
Model_GLS-Class,0.0012738068
AirBagLocKnee_1st Row (Driver and Passenger),0.0012599564
Trim_VX,0.0012580871
Make_MITSUBISHI,0.0012485676
AirBagLocFront_1st Row (Driver and Passenger),0.0012421744
Model_Tacoma,0.0012410885
Trim_Sport/Unlimited,0.0012346441
Trim_Rubicon,0.0012329406
Series_Rubicon,0.0012292254
Series_Unlimited Sahara,0.0012243863
Model_Ghibli,0.0012208316
Series_Laramie,0.001220228
Series_S550,0.0012025571
Model_M4,0.0012003236
Trim_SE/XLE,0.0011887669
VehicleType_MULTIPURPOSE PASSENGER VEHICLE (MPV),0.0011544058
BodyCabType_Not Applicable,0.0011450687
AirBagLocKnee_Passenger Seat Only,0.0011450604
