iter	Logloss
0	0.6691600511
1	0.6452719909
2	0.6254388018
3	0.6027159353
4	0.5910419734
5	0.5741631603
6	0.5575025733
7	0.5395967321
8	0.5250403993
9	0.5140780489
10	0.5021833907
11	0.4881275735
12	0.4770572339
13	0.4713142102
14	0.4632816306
15	0.4522662002
16	0.4428852036
17	0.4344616268
18	0.4275498797
19	0.4194791323
20	0.4127014973
21	0.4060149404
22	0.3990052504
23	0.3914043803
24	0.3857522107
25	0.3791864635
26	0.3752900269
27	0.3685309975
28	0.3658696984
29	0.3614320361
30	0.355809043
31	0.3496927623
32	0.3468851126
33	0.341023899
34	0.3382686647
35	0.3347723841
36	0.3320276468
37	0.3291892948
38	0.3245435896
39	0.320738246
40	0.3178312561
41	0.3157460087
42	0.3112485565
43	0.3074318662
44	0.303497131
45	0.2990877675
46	0.2969152358
47	0.2941235991
48	0.2924557855
49	0.2895312069
50	0.2877100264
51	0.2854029122
52	0.2827478851
53	0.2798311831
54	0.2773974021
55	0.2754926948
56	0.2728744759
57	0.2702644177
58	0.2680046196
59	0.26595618
60	0.2645479061
61	0.2626122314
62	0.2608685149
63	0.2594531763
64	0.2576793695
65	0.2553190316
66	0.2538227012
67	0.2526457103
68	0.251044422
69	0.2501579834
70	0.2486663861
71	0.2474567746
72	0.2457553889
73	0.2444400024
74	0.2428776954
75	0.2411587152
76	0.2394768
77	0.2382926852
78	0.2375146693
79	0.2358784911
80	0.2337506048
81	0.232127741
82	0.2307867343
83	0.2297327988
84	0.2287967516
85	0.2279150168
86	0.2266014609
87	0.2245309155
88	0.2230882033
89	0.2217415466
90	0.2208709802
91	0.2193980149
92	0.2180504725
93	0.2168004382
94	0.2151036199
95	0.2142321479
96	0.2133036054
97	0.2115445171
98	0.2109658162
99	0.2099827943
100	0.2081864305
101	0.2066778478
102	0.2058320083
103	0.2052421725
104	0.2042161897
105	0.2032109745
106	0.2018706751
107	0.2010890663
108	0.2000312391
109	0.1989546428
110	0.1982170523
111	0.1971360427
112	0.1964914455
113	0.1955376854
114	0.194213398
115	0.193125342
116	0.1922817471
117	0.1915054382
118	0.1901740792
119	0.1895333488
120	0.1888304799
121	0.1881239941
122	0.1877667941
123	0.1871905292
124	0.1865365218
125	0.1860245208
126	0.1853320743
127	0.1842315329
128	0.1836370562
129	0.1830199882
130	0.1824109318
131	0.1818513955
132	0.1811129083
133	0.1805677232
134	0.1796405401
135	0.1787634991
136	0.178238023
137	0.177693577
138	0.1772347804
139	0.1765496478
140	0.1758696297
141	0.1748921053
142	0.1743604838
143	0.173745821
144	0.1731219052
145	0.1720174458
146	0.1717097971
147	0.1711664766
148	0.1707594643
149	0.1703637561
150	0.1697900876
151	0.1692086409
152	0.1686410196
153	0.1677966083
154	0.1674840006
155	0.1668784254
156	0.1663299154
157	0.1655223672
158	0.1649772222
159	0.1644957238
160	0.1639470528
161	0.1633856329
162	0.1624924282
163	0.1620234765
164	0.1613505131
165	0.1606433822
166	0.1598564422
167	0.1593372912
168	0.1587732198
169	0.1582345186
170	0.1573631982
171	0.1567902489
172	0.1562720601
173	0.155740887
174	0.1552729901
175	0.1548875988
176	0.154337501
177	0.1537274301
178	0.1532760228
179	0.1528426363
180	0.1523763079
181	0.1517844199
182	0.151231459
183	0.1504523126
184	0.1500598867
185	0.1495183378
186	0.1492747558
187	0.1488766717
188	0.1483534099
189	0.1477551274
190	0.1472987564
191	0.146934711
192	0.1460450047
193	0.1457987321
194	0.1452997588
195	0.1448488536
196	0.1442591658
197	0.1436852356
198	0.1433190316
199	0.1427757809
200	0.1426478831
201	0.1423397805
202	0.141907716
203	0.1412415627
204	0.1406820941
205	0.140192885
206	0.1397909928
207	0.1392223421
208	0.1389140739
209	0.1386163303
210	0.1383921418
211	0.1380123045
212	0.1376854667
213	0.1374582226
214	0.1371248252
215	0.1367602684
216	0.1365811873
217	0.136291578
218	0.1360681573
219	0.1353913994
220	0.1349241846
221	0.1346866904
222	0.1344132616
223	0.1340182814
224	0.1336484113
225	0.1333102669
226	0.132951442
227	0.1325882077
228	0.131987964
229	0.1317131178
230	0.1314029002
231	0.1309373309
232	0.1305806068
233	0.1303669824
234	0.1301229665
235	0.1298642996
236	0.1296156302
237	0.129260471
238	0.1290512743
239	0.1288603181
240	0.1284787159
241	0.1281314351
242	0.1278760692
243	0.127607251
244	0.1273427104
245	0.1269491504
246	0.1266540953
247	0.1262672885
248	0.1257232755
249	0.1253681441
250	0.1251079427
251	0.1248622438
252	0.1244856551
253	0.1241605791
254	0.1238575372
255	0.1235145736
256	0.1232224104
257	0.1230168667
258	0.1228568636
259	0.1225476121
260	0.1222057998
261	0.1219533694
262	0.1217627402
263	0.121531315
264	0.1212415016
265	0.1209672456
266	0.12088001
267	0.1207230474
268	0.1203638481
269	0.1201386514
270	0.1197755056
271	0.1196205422
272	0.1193860833
273	0.119143422
274	0.1189180861
275	0.1187135823
276	0.118351602
277	0.1180974083
278	0.1177848196
279	0.1175713438
280	0.1172345995
281	0.1170811505
282	0.1167152897
283	0.11650821
284	0.1162247722
285	0.1161158011
286	0.1159117233
287	0.115538995
288	0.1153284956
289	0.1151830264
290	0.115079719
291	0.1148875585
292	0.1146681287
293	0.1145460197
294	0.1142188368
295	0.1138798664
296	0.1136254983
297	0.1133025532
298	0.1131519963
299	0.1129389393
300	0.1126515653
301	0.1124065282
302	0.1121086292
303	0.1117888077
304	0.1114807457
305	0.1112896939
306	0.1110235445
307	0.1107625756
308	0.110543866
309	0.1103267169
310	0.11008322
311	0.1098864289
312	0.1096019912
313	0.1091987678
314	0.1088554871
315	0.1086877472
316	0.1084756199
317	0.1081863642
318	0.1080442934
319	0.107713917
320	0.1075871253
321	0.1072433183
322	0.1070966816
323	0.1069129752
324	0.1067539197
325	0.1065871777
326	0.1064775889
327	0.1062135566
328	0.1059863769
329	0.105762338
330	0.1055289621
331	0.1052978452
332	0.1051073076
333	0.1049740747
334	0.1045949382
335	0.1044417418
336	0.104149049
337	0.1039262972
338	0.1036635525
339	0.1033979216
340	0.1032056877
341	0.1029479569
342	0.1027869892
343	0.1025395695
344	0.1024036198
345	0.1021832672
346	0.1019712415
347	0.1018749604
348	0.1014490438
349	0.1010866576
350	0.1007056406
351	0.100578539
352	0.1002941162
353	0.1000990715
354	0.09992273769
355	0.09980986288
356	0.0996299106
357	0.09945578458
358	0.09927839815
359	0.09907435915
360	0.09885531628
361	0.09866974479
362	0.09852120727
363	0.09826150844
364	0.09805816359
365	0.09781886534
366	0.09756479188
367	0.09729246476
368	0.0970930479
369	0.09697685307
370	0.09687109092
371	0.09674393058
372	0.09656940644
373	0.09638560401
374	0.09616026285
375	0.09604249849
376	0.09589637084
377	0.09571873552
378	0.09558444386
379	0.09542108948
380	0.09521620962
381	0.09505239842
382	0.09479699882
383	0.09458582806
384	0.09443021605
385	0.09418682925
386	0.09397851333
387	0.09384134115
388	0.09369477834
389	0.0935622754
390	0.09340210032
391	0.09324686234
392	0.09301642966
393	0.09284450534
394	0.09268438364
395	0.09246740765
396	0.09227608836
397	0.09206251872
398	0.09177473159
399	0.09151483983
400	0.09137594133
401	0.09109452402
402	0.09092757404
403	0.09082564933
404	0.090645364
405	0.09047435997
406	0.09034462331
407	0.09021558603
408	0.08997438272
409	0.08982766484
410	0.08970931094
411	0.08954362886
412	0.08941718046
413	0.08920202356
414	0.08908886949
415	0.08898380121
416	0.0888202549
417	0.08874248004
418	0.08853050078
419	0.0883452486
420	0.0881731809
421	0.0879509436
422	0.08766810322
423	0.08751597998
424	0.08729261183
425	0.08707018261
426	0.08684853959
427	0.08673512414
428	0.08648124088
429	0.08629341412
430	0.08611823513
431	0.08596890401
432	0.08582323948
433	0.08562299792
434	0.08543005184
435	0.08526786319
436	0.08517417084
437	0.08499876316
438	0.08484199452
439	0.08450815458
440	0.08434538698
441	0.08411626865
442	0.0838855116
443	0.0837092522
444	0.08357779113
445	0.08341815443
446	0.08322040796
447	0.08303565031
448	0.08286460983
449	0.08284751202
450	0.08263009042
451	0.08236592536
452	0.08220821438
453	0.08204204247
454	0.08198083402
455	0.08181759403
456	0.08164295164
457	0.08143177408
458	0.08119650952
459	0.08096816639
460	0.08080398383
461	0.08070855448
462	0.08053744562
463	0.08036936848
464	0.08022380334
465	0.07999811557
466	0.07997565343
467	0.07996332698
468	0.07981152057
469	0.07969060139
470	0.0795690642
471	0.07940690676
472	0.07939426306
473	0.07923576815
474	0.07913996437
475	0.07902284046
476	0.07889428945
477	0.07876963371
478	0.07864537968
479	0.07862580217
480	0.07853043569
481	0.07836615031
482	0.07820639056
483	0.07802343931
484	0.07782715371
485	0.07776617773
486	0.07769866021
487	0.07746916225
488	0.07732166445
489	0.07718318815
490	0.0770186463
491	0.07690174541
492	0.07673865502
493	0.07660070805
494	0.07641248116
495	0.07628330683
496	0.07616444385
497	0.0758573563
498	0.07571105546
499	0.07556855723
500	0.07542452592
501	0.07538846681
502	0.07523592689
503	0.07506674155
504	0.07487419364
505	0.07463819461
506	0.07450922342
507	0.07443815762
508	0.0743229903
509	0.07419120637
510	0.07411390908
511	0.07397131662
512	0.07382938823
513	0.07372237935
514	0.07364723093
515	0.07352528358
516	0.07336678899
517	0.07330468987
518	0.0730880524
519	0.07298016565
520	0.07282291032
521	0.0727999037
522	0.07278505436
523	0.07258558946
524	0.07247017109
525	0.07227888672
526	0.0721267654
527	0.07211170226
528	0.07198743136
529	0.07183950947
530	0.07171815509
531	0.07153328052
532	0.0715051737
533	0.07139989815
534	0.07125722683
535	0.07117414052
536	0.07105618085
537	0.07090909995
538	0.0707322829
539	0.07071591407
540	0.07070333673
541	0.07055175949
542	0.07034736431
543	0.07021426983
544	0.07014660501
545	0.07010228694
546	0.06999325719
547	0.0698806069
548	0.06977534626
549	0.06961376604
550	0.06947102417
551	0.06934337692
552	0.0692177793
553	0.06920114475
554	0.06906012699
555	0.0690447391
556	0.06879614783
557	0.06860648198
558	0.06840396735
559	0.06838971557
560	0.06825891693
561	0.06808841858
562	0.06785088787
563	0.06772169709
564	0.06769624765
565	0.06754481057
566	0.06745782766
567	0.06743259199
568	0.06728106624
569	0.0671729213
570	0.06703449137
571	0.0669259295
572	0.06686868587
573	0.06674223409
574	0.06664430787
575	0.06650408668
576	0.0663813873
577	0.06628096436
578	0.06615762681
579	0.06602998935
580	0.06589823524
581	0.06576425671
582	0.06556693495
583	0.0655442427
584	0.06542785606
585	0.06527160001
586	0.06518934009
587	0.06505165876
588	0.06491843665
589	0.06466416816
590	0.06464753365
591	0.0645616279
592	0.06453878217
593	0.06443946539
594	0.06432481799
595	0.06423581241
596	0.06416684167
597	0.0640090865
598	0.06390650015
599	0.06379316537
600	0.06368712641
601	0.0635656777
602	0.0634553957
603	0.06334572907
604	0.06331870049
605	0.06317681126
606	0.06315674796
607	0.06301508909
608	0.06289107108
609	0.06274680591
610	0.06272637233
611	0.0625207536
612	0.06241759725
613	0.06233476772
614	0.06219901156
615	0.06206006924
616	0.06195074227
617	0.06177655325
618	0.06166944683
619	0.06158365513
620	0.06157200734
621	0.06146365206
622	0.06131848512
623	0.06112073739
624	0.06103406791
625	0.06092907877
626	0.06084224547
627	0.06074048524
628	0.06058901092
629	0.06056421777
630	0.06045944813
631	0.06035669906
632	0.06013007169
633	0.06011661784
634	0.06003925836
635	0.05992952015
636	0.05978530864
637	0.05970998606
638	0.05969229155
639	0.0596689883
640	0.05965328703
641	0.05955472045
642	0.05941009071
643	0.05928081858
644	0.05915060246
645	0.05905935612
646	0.05899872445
647	0.0588546385
648	0.05875665349
649	0.0586255484
650	0.05850873017
651	0.05848932569
652	0.05847879912
653	0.05837820438
654	0.0581985258
655	0.0580760112
656	0.05799276632
657	0.05785490795
658	0.05760002349
659	0.05753307588
660	0.05746749506
661	0.05737554725
662	0.05717549444
663	0.05706511967
664	0.05693669606
665	0.05683012622
666	0.05675228501
667	0.05674499314
668	0.05673770127
669	0.05670260836
670	0.05663409884
671	0.05651004551
672	0.05644723628
673	0.0564031845
674	0.05639095399
675	0.05629896606
676	0.05623114967
677	0.05599090045
678	0.0559508636
679	0.05584578882
680	0.05574787177
681	0.05566000753
682	0.05559716868
683	0.05547615153
684	0.0554485181
685	0.05533996235
686	0.05532037481
687	0.05513748918
688	0.05504930956
689	0.05503332056
690	0.05502635326
691	0.0549625815
692	0.05488814633
693	0.05470932876
694	0.05459661396
695	0.05449877985
696	0.05440728996
697	0.05430028311
698	0.05420632344
699	0.0541056052
700	0.05403726142
701	0.05395155136
702	0.05382574252
703	0.05373874172
704	0.05363015028
705	0.05359583188
706	0.05355527984
707	0.05354559057
708	0.05347929768
709	0.05337501297
710	0.05322509345
711	0.05315256385
712	0.05304834534
713	0.05294388339
714	0.05288067764
715	0.05280260394
716	0.05270954451
717	0.05259802293
718	0.0524792685
719	0.05246720023
720	0.05238741488
721	0.05237883212
722	0.05228523788
723	0.05221062226
724	0.05212830538
725	0.05212087331
726	0.05205159285
727	0.05195709873
728	0.05185644301
729	0.05181032371
730	0.05174235049
731	0.05168035665
732	0.05159320928
733	0.05152775746
734	0.0515223872
735	0.05151608012
736	0.05148459443
737	0.05143335383
738	0.05131401112
739	0.0511823067
740	0.05110378274
741	0.05109761951
742	0.05098905267
743	0.05090199569
744	0.05081314841
745	0.0507423542
746	0.05070392321
747	0.05062195239
748	0.0506052662
749	0.05051274923
