iter	Passed	Remaining
0	20	20764
1	38	19450
2	57	19239
3	77	19237
4	95	19076
5	115	19108
6	134	19064
7	153	19033
8	173	19100
9	193	19173
10	214	19268
11	239	19744
12	262	19917
13	284	20047
14	307	20174
15	328	20232
16	352	20387
17	374	20419
18	396	20479
19	420	20614
20	443	20654
21	464	20644
22	485	20614
23	507	20623
24	530	20676
25	553	20749
26	576	20764
27	596	20692
28	615	20604
29	635	20548
30	655	20503
31	675	20447
32	695	20393
33	715	20329
34	735	20278
35	755	20221
36	775	20172
37	799	20243
38	820	20219
39	843	20237
40	863	20204
41	884	20175
42	905	20160
43	928	20176
44	950	20164
45	973	20179
46	995	20191
47	1021	20252
48	1041	20215
49	1061	20164
50	1081	20128
51	1102	20091
52	1123	20072
53	1145	20063
54	1166	20038
55	1187	20016
56	1210	20022
57	1233	20035
58	1255	20022
59	1274	19971
60	1294	19925
61	1313	19876
62	1336	19872
63	1356	19839
64	1379	19839
65	1401	19832
66	1420	19777
67	1445	19813
68	1465	19779
69	1485	19733
70	1506	19709
71	1526	19674
72	1549	19676
73	1568	19622
74	1587	19580
75	1609	19564
76	1631	19559
77	1652	19534
78	1680	19589
79	1700	19553
80	1720	19520
81	1745	19537
82	1766	19515
83	1787	19489
84	1810	19493
85	1830	19452
86	1851	19431
87	1880	19488
88	1903	19485
89	1928	19496
90	1951	19491
91	1975	19496
92	1999	19501
93	2020	19477
94	2042	19458
95	2065	19452
96	2087	19435
97	2108	19407
98	2129	19381
99	2149	19348
100	2170	19316
101	2192	19300
102	2212	19271
103	2232	19231
104	2251	19193
105	2272	19163
106	2291	19126
107	2311	19092
108	2333	19073
109	2353	19040
110	2373	19013
111	2394	18985
112	2414	18955
113	2435	18930
114	2455	18900
115	2477	18883
116	2497	18850
117	2518	18822
118	2537	18785
119	2557	18751
120	2577	18727
121	2598	18699
122	2618	18670
123	2640	18653
124	2661	18632
125	2681	18598
126	2701	18572
127	2722	18548
128	2742	18520
129	2762	18489
130	2783	18463
131	2807	18462
132	2827	18429
133	2847	18399
134	2866	18366
135	2885	18330
136	2904	18297
137	2929	18301
138	2949	18268
139	2971	18250
140	2990	18219
141	3011	18193
142	3031	18167
143	3050	18134
144	3070	18106
145	3090	18075
146	3111	18054
147	3134	18042
148	3152	18007
149	3183	18037
150	3202	18003
151	3221	17971
152	3240	17937
153	3259	17904
154	3277	17868
155	3296	17834
156	3314	17799
157	3335	17774
158	3355	17746
159	3374	17716
160	3394	17689
161	3413	17659
162	3435	17640
163	3454	17609
164	3474	17585
165	3494	17558
166	3520	17558
167	3541	17537
168	3562	17515
169	3583	17497
170	3604	17476
171	3625	17451
172	3649	17444
173	3670	17424
174	3691	17404
175	3711	17376
176	3733	17361
177	3756	17345
178	3776	17320
179	3796	17296
180	3832	17342
181	3855	17326
182	3874	17297
183	3893	17266
184	3913	17240
185	3933	17214
186	3952	17184
187	3971	17154
188	3993	17137
189	4019	17133
190	4038	17105
191	4058	17078
192	4077	17049
193	4096	17020
194	4116	16994
195	4136	16967
196	4157	16945
197	4176	16916
198	4196	16890
199	4215	16863
200	4236	16840
201	4255	16811
202	4275	16784
203	4295	16761
204	4315	16734
205	4334	16708
206	4357	16691
207	4381	16681
208	4400	16653
209	4420	16631
210	4439	16601
211	4459	16574
212	4480	16555
213	4502	16537
214	4521	16509
215	4543	16491
216	4569	16488
217	4588	16459
218	4610	16442
219	4633	16427
220	4653	16404
221	4675	16386
222	4698	16370
223	4718	16347
224	4739	16326
225	4760	16302
226	4780	16278
227	4812	16295
228	4836	16284
229	4855	16255
230	4878	16240
231	4900	16223
232	4922	16203
233	4943	16181
234	4962	16154
235	4984	16135
236	5006	16118
237	5027	16097
238	5052	16087
239	5072	16062
240	5093	16041
241	5114	16018
242	5137	16003
243	5171	16023
244	5194	16006
245	5217	15990
246	5238	15969
247	5259	15949
248	5280	15927
249	5302	15908
250	5323	15886
251	5343	15860
252	5365	15841
253	5385	15817
254	5406	15794
255	5426	15769
256	5446	15745
257	5465	15717
258	5484	15689
259	5506	15670
260	5526	15648
261	5548	15628
262	5570	15609
263	5594	15597
264	5620	15588
265	5644	15575
266	5670	15566
267	5691	15545
268	5718	15539
269	5740	15520
270	5761	15498
271	5781	15475
272	5802	15451
273	5821	15425
274	5842	15402
275	5861	15376
276	5882	15352
277	5901	15325
278	5920	15300
279	5941	15276
280	5962	15256
281	5982	15232
282	6003	15209
283	6023	15186
284	6044	15163
285	6063	15138
286	6083	15113
287	6102	15087
288	6126	15071
289	6145	15046
290	6164	15018
291	6183	14993
292	6204	14970
293	6222	14942
294	6240	14914
295	6260	14890
296	6282	14871
297	6301	14845
298	6323	14824
299	6344	14804
300	6365	14781
301	6385	14757
302	6405	14735
303	6427	14716
304	6447	14692
305	6468	14669
306	6490	14652
307	6513	14633
308	6535	14614
309	6554	14588
310	6575	14567
311	6595	14544
312	6616	14522
313	6636	14499
314	6658	14480
315	6694	14489
316	6725	14491
317	6749	14475
318	6774	14462
319	6794	14438
320	6814	14413
321	6835	14392
322	6854	14367
323	6875	14344
324	6894	14319
325	6914	14295
326	6934	14271
327	6953	14246
328	6974	14224
329	6997	14207
330	7023	14195
331	7046	14176
332	7068	14157
333	7103	14164
334	7125	14145
335	7149	14129
336	7170	14106
337	7191	14085
338	7212	14064
339	7233	14041
340	7253	14017
341	7273	13994
342	7294	13971
343	7319	13957
344	7339	13933
345	7362	13917
346	7382	13892
347	7401	13867
348	7422	13846
349	7443	13824
350	7465	13803
351	7483	13776
352	7503	13753
353	7523	13729
354	7546	13710
355	7565	13686
356	7585	13663
357	7604	13636
358	7624	13614
359	7649	13599
360	7669	13575
361	7689	13551
362	7708	13527
363	7742	13528
364	7762	13504
365	7782	13480
366	7802	13458
367	7825	13440
368	7847	13420
369	7868	13397
370	7887	13372
371	7907	13348
372	7930	13330
373	7949	13305
374	7970	13284
375	7992	13264
376	8021	13256
377	8044	13236
378	8067	13219
379	8088	13197
380	8109	13175
381	8131	13155
382	8151	13131
383	8171	13109
384	8196	13092
385	8217	13071
386	8239	13050
387	8258	13026
388	8278	13002
389	8297	12978
390	8324	12965
391	8344	12942
392	8365	12920
393	8383	12895
394	8403	12871
395	8423	12848
396	8445	12827
397	8465	12804
398	8484	12780
399	8503	12755
400	8522	12730
